Month_code,Birthplace_code,Delivery_method_code,Fetal_presentation_code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,3,1,9,7,28.32,3455.74,3.42,39.79,23.2,28
1,3,1,9,8,29.7,3498.4,9.4,39.7,22.43,10
1,3,1,9,9,31.31,3530.54,11.33,40.08,22.32,13
1,3,1,9,10,29.91,3573.71,9.54,39.74,24.47,35
1,3,1,9,99,30.0,3685.67,3.77,40.19,25.26,19
1,3,2,1,0,33.0,2722.0,12.0,40.0,21.9,1
1,3,2,1,2,32.0,3827.0,9.0,40.0,21.8,1
1,3,2,1,5,29.67,3250.67,7.0,39.0,25.03,3
1,3,2,1,6,29.5,3671.5,6.0,39.5,24.05,2
1,3,2,1,7,32.86,3837.36,10.0,39.57,30.28,14
1,3,2,1,8,31.82,3579.58,9.06,39.85,26.97,33
1,3,2,1,9,33.04,3687.62,9.94,39.74,26.14,125
1,3,2,1,10,31.68,3703.54,10.52,39.96,25.87,130
1,3,2,1,99,32.93,3677.0,4.5,39.79,25.89,14
1,3,2,2,8,29.0,3742.0,4.0,39.0,33.2,1
1,3,2,2,9,33.0,3147.0,6.0,40.0,26.5,1
1,3,2,2,10,34.0,4025.5,12.0,40.5,30.25,2
1,3,2,3,9,24.0,4224.0,12.0,38.0,44.3,1
1,3,2,3,10,34.0,2693.0,3.0,41.0,21.6,1
1,3,2,9,7,29.0,3713.0,11.0,40.0,27.4,1
1,3,2,9,10,37.0,5273.0,8.0,42.0,33.0,1
1,3,2,9,99,30.5,3657.5,3.5,41.0,23.8,2
1,3,3,9,10,32.0,4196.0,10.0,40.0,24.2,1
1,3,5,1,8,30.0,3373.5,4.0,39.0,25.1,2
1,3,5,1,9,30.4,3439.89,9.4,39.6,23.67,10
1,3,5,1,10,28.82,3397.0,9.36,39.18,23.4,11
1,3,5,1,99,23.0,3798.0,8.0,40.0,23.4,1
1,3,5,2,0,49.0,3686.0,9.0,39.0,30.0,1
1,3,5,3,99,32.0,3799.0,0.0,42.0,25.1,1
1,3,5,9,99,26.0,2575.0,0.0,40.0,20.8,1
1,3,9,1,8,24.0,3289.0,12.0,38.0,27.3,1
1,3,9,1,9,32.0,4139.5,10.0,40.5,32.6,2
1,3,9,1,10,27.67,3213.0,9.67,38.67,22.83,3
1,3,9,1,99,30.33,3160.5,7.5,39.67,21.95,3
1,3,9,3,99,26.5,3416.0,2.5,40.0,25.15,2
1,3,9,9,7,27.6,3662.8,2.8,40.6,18.65,5
1,3,9,9,9,27.67,3411.5,8.0,39.5,26.0,9
1,3,9,9,10,33.2,3396.2,10.6,39.8,27.86,5
1,3,9,9,99,30.12,3595.71,2.8,39.69,25.14,58
1,4,1,1,0,27.41,2578.97,6.81,34.93,26.53,32
1,4,1,1,1,28.11,917.88,3.67,23.56,25.87,9
1,4,1,1,2,29.0,1996.33,4.67,32.33,29.8,3
1,4,1,1,3,28.0,4366.0,8.0,38.0,32.5,1
1,4,1,1,4,32.0,3132.67,8.0,38.0,22.27,3
1,4,1,1,5,28.25,2706.5,7.5,36.58,25.14,12
1,4,1,1,6,26.75,2711.25,7.17,35.62,24.4,8
1,4,1,1,7,29.8,2968.4,6.57,37.2,25.37,15
