Anesthesia_code,Antibiotics_for_Mother_code,Induction_of_Labor_Code,Steroids_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
2,2,2,2,99,29.34,3076.64,37.74,7.45,37.67,25.86,10321
1,1,9,1,5,24,780,26,3,25,21.3,1
1,1,9,1,6,24.67,1013.33,29.67,7.33,27.33,28.2,3
1,1,9,1,7,29.33,1811.67,33,6.8,33.5,25.93,6
1,1,9,1,8,26.06,1874.69,33.38,7.38,32,28.73,16
1,1,9,1,9,27.57,2288.47,35.17,8.62,34.23,25.41,40
1,1,9,1,10,27.86,2554.29,34.71,6.83,34.57,25.09,7
2,1,9,1,1,35,1290,26,2,28,49,1
2,1,9,1,8,20,1670,32,5,32,17.7,1
2,1,9,1,9,22.6,1649,30.4,6.6,32.4,26.68,5
1,2,9,1,2,27,400,24,9,24,25,1
1,2,9,1,4,20,2040,30,2,30,22.1,1
1,2,9,1,5,38,540,23,5,23,28.2,1
1,2,9,1,7,32.5,1725,31,9.5,29.25,33.95,4
1,2,9,1,8,28.61,1778.44,32.67,13.28,31.44,28.57,18
1,2,9,1,9,27.35,2582.63,35.61,9.83,35.51,26.7,49
1,2,9,1,10,27.14,2700,36,11.86,35.86,28.93,7
2,2,9,1,8,34,1715,30,10,30,21.6,2
2,2,9,1,10,26,1250,29,4,29,27.3,1
1,1,9,2,0,20,280,20,0,20,21.2,1
1,1,9,2,5,26.67,3226.67,36,6,36.67,27.6,3
1,1,9,2,6,30,3467.5,38,5,38,31.85,2
1,1,9,2,7,30.1,2721.5,34.5,13.6,35.2,27.94,10
1,1,9,2,8,25.56,2975.44,36.79,10.88,36.93,31.07,43
1,1,9,2,9,27.59,3219.15,38.02,9.98,37.84,29.22,507
1,1,9,2,10,27.59,3414.43,38.32,9.38,38.19,27.8,79
2,1,9,2,2,39,660,25,4,24,35.5,1
2,1,9,2,8,28,2290,35.33,8.33,36,38,3
2,1,9,2,9,26.88,3038.12,36.12,8.12,35.88,26.56,8
2,1,9,2,99,27,3935,38,0,40,23.8,1
1,2,9,2,1,26,1185,30,12,28,58.9,1
1,2,9,2,3,29,3380,43,10,39,31.6,1
1,2,9,2,5,35.5,3085,38.5,11.5,37,31.45,2
1,2,9,2,6,26,2564.44,34.78,9.44,34.11,34.14,9
1,2,9,2,7,26.91,2629.45,35,10,35,30.2,22
1,2,9,2,8,26.64,3141.78,37.67,9.85,37.42,28.24,103
1,2,9,2,9,26.88,3302.03,38.34,10.63,38.24,28,1509
1,2,9,2,10,27.39,3358.64,38.67,10.36,38.37,28.06,268
1,2,9,2,99,26,2015,28,0,34,28.3,1
2,2,9,2,1,19,360,21,5,21,17.1,1
2,2,9,2,6,24,1745,31,5,31,21,1
2,2,9,2,7,20,3510,39,13,39,22.3,1
2,2,9,2,8,30,2854.12,36.75,6.38,36.38,25.07,8
2,2,9,2,9,28.52,3259.44,38.3,8.78,37.78,29.28,27
2,2,9,2,10,30.25,3428.75,37,7,39.5,22.52,4
2,2,9,2,99,18,2760,36,0,36,23,1
9,9,9,9,0,26.66,2310.75,26.8,2,27,26.6,41
9,9,9,9,1,29.69,505,21.92,4.5,22.23,30.7,13
9,9,9,9,2,31.57,2257.57,31.14,7,31.43,32.4,7
9,9,9,9,3,24.5,1863.25,32.25,9,31,28.8,4
9,9,9,9,4,26.29,2798.29,36.43,6,35.86,28.23,7
9,9,9,9,5,30.4,2923.3,37.3,8.1,37,26.49,10
9,9,9,9,6,29.86,2989.57,37,7.6,38.17,31.76,7
9,9,9,9,7,30.34,2987.97,37.16,9.67,36.75,29.54,32
9,9,9,9,8,29.26,3016.74,37.61,10.31,37.32,27.59,126
9,9,9,9,9,29.22,3329.3,38.71,10.71,38.61,27.5,702
9,9,9,9,10,29.43,3445.4,39.4,9.33,39.34,24.75,68
9,9,9,9,99,29.28,2885.45,37.02,3.76,37.18,25.58,352
